Sex,Hours_Studied,Previous_Scores,Extracurricular_Activities,Sleep_Hours,Academic_Year,Performance_Index
Male,7,99,Yes,9,2,91
Female,4,82,No,4,3,65
Female,5,77,NA,8,2,61
Male,8,51,Yes,7,2,45
Male,5,52,Yes,5,1,36
Female,7,75,No,8,2,66
Female,3,78,No,9,2,61
Male,7,73,Yes,5,2,63
Male,8,45,Yes,4,5,42
Male,4,89,No,4,1,69
Male,8,91,No,4,3,84
Male,8,79,No,6,4,73
Male,3,47,No,9,2,27
Female,6,47,No,4,4,33
Female,5,79,No,7,3,68
Female,2,72,No,4,2,43
Female,8,73,Yes,8,5,67
Female,6,83,Yes,7,3,70
Male,2,54,Yes,4,1,30
Male,5,75,No,7,3,63
Male,1,99,Yes,4,2,71
Male,6,96,No,9,1,85
Male,9,74,Yes,7,4,73
Female,1,85,No,5,5,57
Female,3,61,No,6,2,35
Male,7,62,Yes,7,2,49
Female,4,79,No,8,5,66
Male,9,84,Yes,6,3,83
Female,3,94,Yes,6,2,74
Female,5,90,Yes,4,4,74
Male,3,61,Yes,7,3,39
Female,7,44,Yes,9,5,36
Female,5,70,Yes,6,4,58
Female,9,52,Yes,8,5,47
Female,7,67,Yes,9,5,60
Male,2,97,Yes,9,2,74
Male,4,59,No,8,3,42
Male,9,72,No,8,1,68
Male,2,55,Yes,4,3,32
Male,9,68,No,5,5,64
Female,5,62,No,7,3,45
Male,2,63,Yes,6,1,39
Male,4,73,Yes,7,3,58
Male,7,46,No,9,1,36
Female,8,77,Yes,6,2,71
Female,3,76,Yes,4,5,54
Female,1,43,Yes,7,1,17
Male,4,73,No,4,4,54
Male,2,81,Yes,4,4,58
Male,8,61,No,7,2,53
Male,4,44,Yes,7,2,27
Male,2,89,Yes,6,5,65
Female,6,81,No,9,5,75
Male,6,62,Yes,9,1,52
Male,4,93,No,8,1,78
Male,6,99,No,4,2,91
Female,2,54,Yes,9,4,33
Female,2,70,Yes,5,1,47
Female,4,98,No,6,5,78
Female,8,48,No,6,5,38
Female,7,82,Yes,8,3,70
Female,9,97,Yes,8,1,98
Female,8,92,Yes,4,1,87
Female,5,64,Yes,6,2,49
Male,2,64,Yes,6,3,41
Female,5,88,No,5,5,71
Female,8,60,No,4,1,54
Male,9,48,No,4,1,42
Female,9,94,No,9,2,91
Female,1,87,Yes,8,2,61
Female,9,77,No,9,3,74
Female,7,61,Yes,4,1,54
Male,9,82,Yes,5,3,81
Male,8,62,Yes,4,1,52
Female,1,88,Yes,9,5,65
Male,8,43,Yes,7,5,36
Male,8,68,No,7,5,61
Male,3,54,Yes,5,1,35
Male,1,40,Yes,8,3,15
Male,8,93,Yes,6,5,88
Male,3,69,No,4,5,45
Male,3,68,Yes,9,1,49
Female,1,59,Yes,8,5,33
Female,5,72,Yes,9,4,60
Male,7,80,No,8,2,71
Female,9,83,Yes,4,2,81
Male,7,75,No,6,2,67
Female,9,99,No,4,1,95
Female,8,61,Yes,6,2,58
Male,2,52,No,9,4,29
Female,1,46,No,5,1,21
Male,7,47,Yes,6,5,38
Male,7,67,Yes,8,2,60
Male,8,84,Yes,5,3,76
Female,5,82,Yes,9,1,69
Male,3,48,No,7,5,30
Female,8,64,No,5,2,57
Female,6,95,Yes,6,2,81
Female,3,55,Yes,5,5,36
Male,1,49,Yes,9,3,25
Male,3,50,No,5,2,27
Male,5,70,Yes,9,4,61
Male,3,51,No,7,5,34
Female,1,99,No,6,1,76
Male,5,70,No,8,4,57
Male,7,53,No,5,2,45
Female,7,90,Yes,4,2,76
Female,9,83,Yes,8,2,83
Male,3,71,Yes,5,2,50
Female,7,89,No,8,2,81
Female,1,92,No,4,1,66
Female,4,56,Yes,8,1,38
Male,4,74,No,8,3,56
Male,5,40,No,4,5,25
Male,7,68,No,4,4,56
Male,7,90,Yes,4,2,82
Male,4,43,Yes,7,4,23
Female,7,62,Yes,9,3,56
Male,3,67,No,9,1,46
Female,6,55,Yes,4,4,43
Male,2,51,Yes,9,2,30
Female,9,92,Yes,8,3,92
Female,5,60,No,4,5,45
Male,6,84,No,5,3,70
Female,4,56,No,4,3,36
Female,7,79,No,4,2,71
Female,9,52,No,9,4,49
Female,7,91,Yes,6,2,82
Female,1,97,Yes,8,1,71
Male,1,71,No,9,1,43
Female,9,76,No,8,4,77
Female,9,89,Yes,5,1,86
Male,4,54,No,7,5,34
Female,9,51,No,6,4,49
Female,3,88,No,5,4,69
Male,7,96,No,5,1,84
Female,6,54,No,8,4,41
Male,8,73,Yes,6,1,68
Male,9,45,Yes,8,2,44
Male,5,56,No,7,4,41
Male,1,87,No,8,2,58
Male,3,88,Yes,4,1,68
Male,8,96,No,8,5,94
Female,6,59,Yes,4,4,47
Male,8,48,No,5,4,40
Female,9,98,Yes,7,1,100
Female,4,44,Yes,9,1,23
Female,1,62,No,4,1,36
Female,1,72,No,7,5,47
Female,4,77,Yes,8,3,60
Male,7,95,No,9,1,83
Male,2,53,Yes,8,1,33
Female,3,56,No,5,5,36
Male,1,96,No,8,2,74
Male,5,58,No,4,4,42
Male,1,72,Yes,5,5,47
Female,8,40,Yes,7,5,31
Female,1,52,No,5,3,26
Male,1,85,Yes,7,1,58
Male,2,66,No,6,1,42
Female,2,45,Yes,4,3,18
Female,6,98,No,4,2,85
Male,7,45,Yes,7,1,36
Male,5,72,Yes,8,3,58
Male,1,69,Yes,9,4,45
Male,1,85,Yes,8,2,60
Female,3,74,Yes,6,3,56
Male,2,62,Yes,7,5,42
Male,5,49,No,6,4,33
Female,6,90,No,7,2,77
Male,7,58,Yes,6,1,51
Female,4,90,No,7,2,72
Female,7,67,Yes,4,4,57
Male,8,62,No,6,4,53
Male,1,43,No,6,4,16
Male,6,59,No,7,1,45
Male,8,58,No,5,3,49
Male,5,81,Yes,5,1,67
Male,4,66,No,4,4,49
Male,2,96,No,8,1,73
Male,6,73,No,8,2,65
Male,6,43,Yes,4,4,27
Male,1,95,No,8,4,72
Female,9,77,Yes,9,5,74
Female,6,46,Yes,9,5,38
Male,3,87,No,9,2,67
Female,4,46,Yes,9,4,28
Male,4,89,No,7,1,73
Female,3,91,No,5,5,72
Female,3,65,No,4,3,42
Male,3,65,No,7,1,47
Male,4,93,No,9,1,77
Female,7,58,No,4,4,49
Female,4,48,No,5,2,30
Female,9,59,Yes,8,5,54
