Lot_Area,Bldg_Type,House_Style,Overall_Cond,Year_Built,Roof_Style,Exter_Cond,Bsmt_Cond,Central_Air,Electrical,Bathroom,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bedroom_AbvGr,Kitchen_AbvGr,Fireplaces,Garage_Cars,Garage_Area,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Fence,Year_Sold,Sale_Condition,Sale_Price
11622,OneFam,One_Story,Above_Average,1961,Gable,Typical,Typical,Y,SBrkr,1,896,0,896,2,1,0,1,730,140,0,0,Minimum_Privacy,2010,Normal,105000
5858,TwnhsE,One_Story,Average,1999,Gable,Typical,Typical,Y,SBrkr,3,1337,0,1337,2,1,1,2,511,203,68,0,No_Fence,2010,Normal,184000
9800,OneFam,One_Story,Average,1920,Gable,Fair,Typical,N,FuseA,1,1012,0,1012,2,1,0,1,429,121,0,80,No_Fence,2010,Normal,67500
6048,TwoFmCon,One_and_Half_Fin,Good,1910,Gable,Good,Typical,Y,SBrkr,3,936,744,1680,2,2,1,2,450,56,144,0,No_Fence,2010,Normal,114900
7200,Duplex,Two_Story,Above_Average,1967,Flat,Typical,No_Basement,Y,SBrkr,3,862,1788,2650,6,2,0,0,0,0,0,0,No_Fence,2010,Normal,160000
8400,OneFam,One_Story,Below_Average,1950,Gable,Fair,Fair,Y,SBrkr,1,841,0,841,2,1,0,1,294,250,0,24,No_Fence,2009,Normal,82000
9000,OneFam,One_and_Half_Unf,Fair,1928,Gable,Typical,Fair,N,FuseA,1,784,0,784,2,1,0,2,360,0,0,91,No_Fence,2009,Normal,76000
6629,OneFam,Two_Story,Above_Average,1925,Gambrel,Good,Typical,N,SBrkr,3,697,672,1369,3,1,0,1,300,147,0,0,No_Fence,2009,Normal,103600
6300,OneFam,One_and_Half_Fin,Below_Average,1938,Gable,Typical,Fair,Y,SBrkr,1.5,832,436,1268,3,1,2,1,250,0,0,55,No_Fence,2009,Abnorml,160000
4500,OneFam,One_and_Half_Fin,Average,1932,Gable,Typical,Typical,Y,SBrkr,1,848,672,1520,3,1,0,1,281,0,0,56,No_Fence,2009,Abnorml,159434
4060,TwnhsE,One_Story,Average,1998,Gable,Typical,Typical,Y,SBrkr,3,1337,0,1337,2,1,0,2,511,144,68,0,No_Fence,2008,Abnorml,181000
12155,OneFam,Two_Story,Very_Good,1925,Gable,Typical,Typical,N,SBrkr,2,810,672,1482,4,1,0,1,400,0,0,254,No_Fence,2008,Normal,140000
