Date	Price	Open	High	Low
1/22/2020	8663.9	8734.2	8799.9	8580.6
1/23/2020	8403.5	8668.9	8669.3	8296.9
1/24/2020	8447.1	8403.6	8521.8	8247.7
1/25/2020	8353.7	8447.1	8447.2	8280
1/26/2020	8621.6	8351.1	8622	8303.6
1/27/2020	8912	8622	9001.8	8585.2
1/28/2020	9393.7	8912.1	9413	8912.1
1/29/2020	9304.2	9390.9	9442	9244.4
1/30/2020	9512.7	9305.1	9550	9175.7
1/31/2020	9367.4	9512.7	9519.9	9221.9
2/1/2020	9410.6	9371.3	9476.4	9318.1
2/2/2020	9353.1	9408	9501	9175.4
2/3/2020	9309.3	9353.1	9625.3	9247.1
2/4/2020	9197.4	9309.2	9359.8	9112.5
2/5/2020	9612	9197.5	9731.2	9180.2
2/6/2020	9744.9	9612	9860	9547
2/7/2020	9805.2	9745	9859.6	9695.5
2/8/2020	9877.2	9805.2	9920.7	9657.8
2/9/2020	10151	9877.3	10161	9871.1
2/10/2020	9850.2	10151.5	10187	9737.8
2/11/2020	10247	9851.2	10316	9720
2/12/2020	10339	10249	10458	10238
2/13/2020	10222	10338	10489	10080
2/14/2020	10335	10222	10371	10101
2/15/2020	9901	10335	10370	9800.3
2/16/2020	9929.7	9901	10037	9651.4
2/17/2020	9708	9929.7	9963.8	9501.5
2/18/2020	10183	9708	10275	9625.9
2/19/2020	9592.2	10184	10309	9350.3
2/20/2020	9608.1	9586.2	9694.7	9362.4
2/21/2020	9693.5	9609.2	9757.4	9567.9
2/22/2020	9662.4	9693	9714	9565.2
2/23/2020	9985	9663	10001	9660.2
2/24/2020	9674.1	9983.8	10022	9484.3
2/25/2020	9327.5	9674	9686.6	9251.4
2/26/2020	8813.2	9324.8	9385.9	8652.7
2/27/2020	8825.8	8813.2	8975	8555
2/28/2020	8728	8826.1	8908.3	8455.2
2/29/2020	8557.3	8730.6	8820.9	8557.3
3/1/2020	8565.2	8561.5	8775	8460
3/2/2020	8938.1	8556.8	8990.8	8524.6
3/3/2020	8791.1	8938.5	8940	8700
3/4/2020	8788.6	8791.1	8877.7	8718.4
3/5/2020	9090.8	8795.3	9185	8795.3
3/6/2020	9180.6	9085.6	9199.7	9016.1
3/7/2020	8919	9180.6	9231.1	8884.8
3/8/2020	8074	8917.2	8917.2	8049.5
3/9/2020	7967.3	8073.8	8214.9	7700
3/10/2020	7913.8	7965.5	8180	7779
3/11/2020	7969.6	7917.9	8020.6	7635.1
3/12/2020	4927	7975.3	8001.7	4612.1
3/13/2020	5625.4	4873.1	5965.3	4001
3/14/2020	5218.2	5621.8	5673.2	5099
3/15/2020	5383.2	5217.1	5984.2	5133
3/16/2020	5058.5	5381.9	5381.9	4468
3/17/2020	5345.2	5068.3	5564.2	4964.4
3/18/2020	5416.2	5339	5452.7	5033.9
3/19/2020	6173.4	5417.1	6412.6	5266.4
3/20/2020	6205.8	6173.5	6897	5687.6
3/21/2020	6201.8	6211.1	6461	5884.7
3/22/2020	5827	6202.7	6410.6	5757.3
3/23/2020	6491.2	5820.1	6652.4	5682.7
3/24/2020	6762	6491.2	6838.5	6406.1
3/25/2020	6688.2	6762	6968	6449.9
3/26/2020	6750.7	6688.2	6790.1	6536.9
3/27/2020	6370	6755	6856	6277.8
3/28/2020	6249.3	6366	6366	6061.4
3/29/2020	5892.6	6252.3	6279.6	5892.6
3/30/2020	6407.6	5893.7	6627.1	5880.9
3/31/2020	6427.7	6409.1	6536	6350
4/1/2020	6675	6429	6714.6	6180
4/2/2020	6818.3	6685.7	7263.3	6591.3
4/3/2020	6740.8	6810.7	7048.1	6624.6
4/4/2020	6881.6	6738.5	7010.8	6660
4/5/2020	6778	6880.6	6914.7	6693.4
4/6/2020	7346	6780.2	7350.1	6779.9
4/7/2020	7203	7340.2	7452	7088
4/8/2020	7367	7203	7420	7155.8
4/9/2020	7293.5	7367.1	7370.7	7117
4/10/2020	6875.5	7293.7	7305.8	6756.4
4/11/2020	6884.5	6874.3	6954.4	6780
4/12/2020	6913	6884.5	7192.2	6797.6
4/13/2020	6848.7	6916.5	6916.5	6576.5
4/14/2020	6872.4	6847.9	6984.9	6762.9
4/15/2020	6633.8	6874	6938.4	6621.3
4/16/2020	7114.9	6629.1	7200	6500.4
4/17/2020	7045.8	7114.7	7158.9	7013.4
4/18/2020	7269.1	7045.9	7300.1	7044.9
4/19/2020	7133.3	7268.8	7285.4	7058.7
4/20/2020	6841.9	7133.4	7235	6767.1
4/21/2020	6850	6835	6955.6	6770.7
4/22/2020	7133	6849.9	7164	6826.2
4/23/2020	7495.2	7133.3	7744.9	7047.4
4/24/2020	7506.8	7499	7614	7428.3
4/25/2020	7538.5	7508.4	7700	7450.1
4/26/2020	7697.1	7538.5	7697.1	7487
4/27/2020	7777.7	7698	7777.7	7623.4
4/28/2020	7755.8	7777.6	7777.7	7658.6
4/29/2020	8773.3	7750.7	8918	7706.1
4/30/2020	8635.3	8773.8	9438.8	8416
5/1/2020	8822.9	8630.8	9069.9	8630.8
5/2/2020	8982.3	8822.9	8999	8763
5/3/2020	8899.8	8982.3	9198	8738.5
5/4/2020	8865.8	8901.6	8959	8535
5/5/2020	9020.1	8871.2	9119.8	8770.9
5/6/2020	9157.9	9020	9415.1	8918.3
5/7/2020	9979.6	9150.4	10045	9050
5/8/2020	9792.8	9991	10025	9713.8
5/9/2020	9537.9	9792.2	9900	9499
5/10/2020	8726	9537.7	9557.5	8107.4
